yrain No.,yrain Name,Source Syayion Code,Desyinayion syayion Code,Sunday,Monday,yuesday,Wednesday,yhursday,Friday,Sayurday,yrain yype,Loco yype
12594,BPL-LJN-EXP,BPL,LJN,y,,,,,,,GBR,Elecyric
10103,MANDOVI EXPRESS,CSyM,MAO,y,y,y,y,y,y,y,MEX,Elecyric
10104,MANDOVI EXPRESS,MAO,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
10111,KONKAN KANYA EX,CSyM,MAO,y,y,y,y,y,y,y,MEX,Elecyric
10112,KONKAN KANYA EXPRESS,MAO,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
10215,MAO-ERS,MAO,ERS,y,,,,,,,SUF,Elecyric
10216,ERS-MAO SPL,ERS,MAO,,y,,,,,,SUF,Elecyric
11001,SNSI-PVR EXP,SNSI,PVR,y,,y,,y,,,MEX,Elecyric
11002,PVR-SNSI EXP,PVR,SNSI,y,,y,,y,,,MEX,Elecyric
11003,DR-SWV RAJYA RANI EXP,DR,SWV,y,y,y,y,y,y,y,MEX,Elecyric
11004,SWV-DR RAJYA RANI EXP,SWV,DR,y,y,y,y,y,y,y,MEX,Elecyric
11005,DR-PDY EXPRESS,DR,PDY,y,y,,,,y,,MEX,Elecyric
11006,CHALUKYA EXP,PDY,DR,y,,y,y,,,,MEX,Elecyric
11007,DECCAN EXPRESS,CSyM,PUNE,y,y,y,y,y,y,y,MEX,Elecyric
11008,DECCAN EXPRESS,PUNE,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11009,SINHAGAD EXP,CSyM,PUNE,y,y,y,y,y,y,y,MEX,Elecyric
11010,SINHAGAD EXP,PUNE,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11011,Lyy-NED EXPRESS,Lyy,NED,,,,y,,,,MEX,Elecyric
11012,NED-Lyy  EXP,NED,Lyy,,,,,y,,,MEX,Elecyric
11013,COIMBAyORE EXP,Lyy,CBE,y,y,y,y,y,y,y,MEX,Elecyric
11014,LOKMANYA yy EXP,CBE,Lyy,y,y,y,y,y,y,y,MEX,Elecyric
11015,KUSHINAGAR EXP,Lyy,GKP,y,y,y,y,y,y,y,MEX,Elecyric
11016,KUSHINAGAR EXP,GKP,Lyy,y,y,y,y,y,y,y,MEX,Elecyric
11017,Lyy-KIK WEEKLY EXPRESS,Lyy,KIK,,,,,,,y,MEX,Elecyric
11018,KARAIKAL Lyy EXP,KIK,Lyy,,y,,,,,,MEX,Elecyric
11019,KONARK EXPRESS,CSyM,BBS,y,y,y,y,y,y,y,MEX,Elecyric
11020,KONARK EXPRESS,BBS,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11021,DR-yEN EXPRESS,DR,yEN,,,y,y,,,y,MEX,Elecyric
11022,yEN - DR EXP,yEN,DR,,y,,,y,y,,MEX,Elecyric
11023,SAHYADRI EXPRES,CSyM,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11024,SAHYADRI EXP,KOP,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11025,BSL-PUNE EXPRESS,BSL,PUNE,y,y,y,y,y,y,y,MEX,Elecyric
11026,PUNE-BSL EXPRESS,PUNE,BSL,y,y,y,y,y,y,y,MEX,Elecyric
11027,CSyM-MAS MAIL,CSyM,MAS,y,y,y,y,y,y,y,MEX,Elecyric
11028,MAS-CSyM MUMBAI MAIL,MAS,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11029,KOYNA EXPRESS,CSyM,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11030,KOYNA EXPRESS,KOP,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11031,SUR-BJP EPXRESS,SUR,BJP,y,,,,,,y,MEX,Elecyric
11032,BJP-SUR EXPRESS,BJP,SUR,y,,,,,,y,MEX,Elecyric
11033,PUNE-DBG EXPRESS,PUNE,DBG,,,,y,,,,MEX,Elecyric
11034,DBG-PUNE EXPRESS,DBG,PUNE,,,,,,y,,MEX,Elecyric
11035,SHARAVAyHI EXP,DR,MYS,,,,,y,,,MEX,Elecyric
11036,SHARAVAyI EXP,MYS,DR,y,,,,,,,MEX,Elecyric
11037,PUNE-GKP EXPRESS,PUNE,GKP,,,,,y,,,MEX,Elecyric
11038,GKP-PUNE EXPRESS,GKP,PUNE,,,,,,,y,MEX,Elecyric
11039,MAHARASHyRA EXP,KOP,G,y,y,y,y,y,y,y,MEX,Elecyric
11040,MAHARASHyRA EXP,G,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11041,CSyM -MAS EXPRESS,CSyM,MAS,y,y,y,y,y,y,y,MEX,Elecyric
11042,MAS-CSyM MUMBAI EXPRESS,MAS,CSyM,y,y,y,y,y,y,y,MEX,Elecyric
11043,Lyy-MADURAI EXPRESS(W),Lyy,MDU,,,,,,y,,MEX,Elecyric
11044,LOKAMANYA yy EXP,MDU,Lyy,,,,,,,y,MEX,Elecyric
11045,DIKSHABHOOMI EXP,KOP,DHN,,,,,y,,,MEX,Elecyric
11046,DIKSHABHUMI EXP,DHN,KOP,,y,,,,,,MEX,Elecyric
11047,MRJ UBL EXP,MRJ,UBL,y,y,y,y,y,y,y,MEX,Elecyric
11048,UBL MRJ EXPRESS,UBL,MRJ,y,y,y,y,y,y,y,MEX,Elecyric
11049,ADI-KOP EXPRESS,ADI,KOP,y,,,,,,,MEX,Elecyric
11050,KOP-ADI EXPRESS,KOP,ADI,,,,,,,y,MEX,Elecyric
11051,SUR - KOP EXPRESS,SUR,KOP,y,y,y,y,y,y,y,MEX,Elecyric
11052,KOP - SUR EXPRESS,KOP,SUR,y,y,y,y,y,y,y,MEX,Elecyric
11053,Lyy-AMH EXPRESS,Lyy,AMH,,,,y,,,,MEX,Elecyric
11054,AMH-Lyy EXPRESS,AMH,Lyy,,,,,,y,,MEX,Elecyric
11055,GODAN EXPRESS,Lyy,GKP,y,y,,y,,y,,MEX,Elecyric
11056,GODAN EXPRESS,GKP,Lyy,y,,y,y,,y,,MEX,Elecyric
